agent_id,time,agent_type,origin_1,destination_1,waiting_time_1,destination_2,waiting_time_2
7011,8:12:12,42221202,NU0190,ND0004,72,ND0017,72
7679,8:12:14,72221202,NF0159,ND0001,72,ND0020,72
9277,8:12:18,92221202,NU0091,ND0013,72,ND0008,72
6627,8:12:20,91222201,NF0179,ND0023,0,None,0
7110,8:12:20,72222202,NU0190,ND0020,72,ND0022,72
6960,8:12:21,A1222202,NU0190,ND0020,72,ND0027,72
5761,8:12:25,71221201,NF0177,ND0025,0,None,0
2423,8:12:27,D1368021,NF0159,ND0019,0,None,0
7644,8:12:27,41221202,NF0159,ND0001,72,ND0020,72
7048,8:12:28,B1222202,NU0190,ND0014,72,ND0013,72
2676,8:12:29,51221201,NF0159,ND0023,0,None,0
566,8:12:30,91221201,NU0190,ND0015,0,None,0
4330,8:12:30,61221201,NU0253,ND0022,0,None,0
1946,8:12:31,91221201,NF0159,ND0006,0,None,0
7771,8:12:31,B1221202,NF0159,ND0009,72,ND0014,72
6054,8:12:32,81131201,NU0091,ND0009,0,None,0
8306,8:12:36,71221202,NU0253,ND0021,72,ND0002,72
8985,8:12:36,B1521202,NF0177,ND0026,72,ND0010,72
4252,8:12:39,A2221201,NU0253,ND0021,0,None,0
3547,8:12:40,72222201,NU0253,ND0012,0,None,0
7086,8:12:43,62966022,NU0190,ND0027,72,ND0008,72
9402,8:12:44,72321202,NU0100,ND0007,72,ND0018,72
3160,8:12:46,82222201,NU0253,ND0002,0,None,0
6918,8:12:46,41228202,NU0190,ND0027,72,ND0002,72
7087,8:12:50,A1222202,NU0190,ND0016,72,ND0013,72
4635,8:12:53,72221201,NU0253,ND0025,0,None,0
2943,8:12:55,61222201,NF0159,ND0027,0,None,0
4903,8:12:55,81222201,NU0253,ND0027,0,None,0
2311,8:12:56,I29B1011,ND0017,NF0159,0,None,0
5039,8:12:58,81521201,NF0177,ND0001,0,None,0
6262,8:12:58,91222201,NU0091,ND0025,0,None,0
5750,8:12:59,61321201,NF0177,ND0025,0,None,0
8177,8:13:02,71221202,NU0253,ND0008,72,ND0010,72
6988,8:13:05,41741202,NU0190,ND0005,72,ND0004,72
7648,8:13:05,61221202,NF0159,ND0017,72,ND0002,72
9581,8:13:06,72221202,NF0077,ND0002,72,ND0008,72
8333,8:13:10,C1521202,NU0253,ND0009,72,ND0001,72
4259,8:13:11,A1261021,NU0253,ND0021,0,None,0
9243,8:13:11,81131202,NU0091,ND0016,72,ND0004,72
4900,8:13:15,51261021,NU0253,ND0027,0,None,0
3990,8:13:17,61122201,NU0253,ND0019,0,None,0
601,8:13:21,62221201,NU0190,ND0016,0,None,0
4643,8:13:21,52221201,NU0253,ND0025,0,None,0
6930,8:13:23,F1522202,NU0190,ND0020,72,ND0017,72
9557,8:13:23,71221202,NF0077,ND0025,72,ND0015,72
5656,8:13:26,62221201,NF0177,ND0023,0,None,0
146,8:13:27,51222201,NU0190,ND0005,0,None,0
271,8:13:34,41221201,NU0190,ND0008,0,None,0
8381,8:13:34,51222202,NU0253,ND0014,72,ND0008,72
5411,8:13:37,B1521201,NF0177,ND0018,0,None,0
